date,cost,cost_3,cost_4,cost_5,cost_6,cost_7
2022/2/2,180.2857116,100.1614127,80.1210595,68.0968476,60.08070633,59.57227481
2022/2/3,180.285712,153.535723,120.1924875,100.15399,86.79499167,77.25285
2022/2/4,180.2857122,180.2857119,160.2232203,132.2111324,113.509277,100.1508089
2022/2/5,180.2857118,180.285712,180.2857119,164.2357186,140.2235623,123.0487677
2022/2/6,180.2857119,180.285712,180.285712,180.2857119,166.9107175,145.9467266
2022/2/7,180.2857119,180.2857119,180.285712,180.285712,180.2857119,168.821431
2022/2/8,180.2857118,180.2857119,180.2857119,180.2857119,180.2857119,180.2857119
2022/2/9,180.285712,180.2857119,180.2857119,180.2857119,180.2857119,180.2857119
2022/2/10,180.2857122,180.285712,180.285712,180.285712,180.2857119,180.285712
2022/2/11,180.2857117,180.285712,180.2857119,180.2857119,180.2857119,180.2857119
2022/2/12,180.2857121,180.285712,180.285712,180.285712,180.285712,180.2857119
2022/2/13,180.2857115,180.2857118,180.2857119,180.2857119,180.2857119,180.2857119
2022/2/14,180.2857116,180.2857117,180.2857117,180.2857118,180.2857119,180.2857118
2022/2/15,180.2857121,180.2857117,180.2857118,180.2857118,180.2857119,180.2857119
2022/2/16,180.2857116,180.2857118,180.2857117,180.2857118,180.2857118,180.2857118
2022/2/17,180.2857122,180.285712,180.2857119,180.2857118,180.2857119,180.2857118
2022/2/18,180.2857117,180.2857118,180.2857119,180.2857118,180.2857118,180.2857118
2022/2/19,180.2857121,180.285712,180.2857119,180.2857119,180.2857119,180.2857118
2022/2/20,180.2857118,180.2857119,180.285712,180.2857119,180.2857119,180.2857119
2022/2/21,180.2857117,180.2857119,180.2857118,180.2857119,180.2857119,180.2857119
2022/2/22,180.2857118,180.2857118,180.2857119,180.2857118,180.2857119,180.2857118
2022/2/23,180.2857116,180.2857117,180.2857117,180.2857118,180.2857118,180.2857118
2022/2/24,180.2857117,180.2857117,180.2857117,180.2857117,180.2857118,180.2857118
2022/2/25,180.2857115,180.2857116,180.2857117,180.2857117,180.2857117,180.2857117
2022/2/26,180.285712,180.2857117,180.2857117,180.2857117,180.2857117,180.2857117
2022/2/27,180.285712,180.2857118,180.2857118,180.2857118,180.2857118,180.2857118
2022/2/28,180.2857118,180.2857119,180.2857118,180.2857118,180.2857118,180.2857118
2022/3/1,164.9690423,175.1801554,176.4565445,177.2223779,177.7329336,178.0976161
2022/3/2,164.969042,170.0745987,172.627377,174.159044,175.1801553,175.9095205
2022/3/3,164.9690419,164.9690421,168.7982095,171.09571,172.627377,173.7214248
2022/3/4,108.7524519,146.2301786,150.9148945,156.789058,160.705167,163.5023877
2022/3/5,164.9690418,146.2301785,150.9148944,153.725724,158.1523886,161.314292
2022/3/6,164.9690423,146.2301787,150.9148945,153.725724,155.5996104,159.1261963
2022/3/7,164.9690419,164.969042,150.9148945,153.725724,155.5996103,156.9381006
2022/3/8,164.9690422,164.9690421,164.9690421,153.725724,155.5996103,156.9381006
2022/3/9,164.9690419,164.969042,164.9690421,164.969042,155.5996103,156.9381006
2022/3/10,164.9690418,164.969042,164.969042,164.969042,164.969042,156.9381005
2022/3/11,164.9690422,164.969042,164.969042,164.969042,164.9690421,164.969042
2022/3/12,164.969042,164.969042,164.969042,164.969042,164.969042,164.969042
2022/3/13,158.9286652,162.9555831,163.4589478,163.7609666,163.9623126,164.106131
2022/3/14,164.9690421,162.9555831,163.4589479,163.7609667,163.9623125,164.1061311
2022/3/15,164.969042,162.9555831,163.4589478,163.7609667,163.9623126,164.106131
2022/3/16,164.9690422,164.9690421,163.4589479,163.7609667,163.9623126,164.1061311
2022/3/17,164.9690422,164.9690421,164.9690421,163.7609667,163.9623126,164.1061311
2022/3/18,164.9690422,164.9690422,164.9690422,164.9690421,163.9623127,164.1061311
2022/3/19,164.969042,164.9690421,164.9690422,164.9690421,164.9690421,164.1061311
2022/3/20,164.9690417,164.969042,164.969042,164.9690421,164.9690421,164.9690421
2022/3/21,164.969042,164.9690419,164.969042,164.969042,164.9690421,164.969042
2022/3/22,164.9690419,164.9690419,164.9690419,164.969042,164.969042,164.969042
2022/3/23,164.9690423,164.9690421,164.969042,164.969042,164.969042,164.969042
2022/3/24,192.1865955,174.0415599,171.7734304,170.4125527,169.5053009,168.8572639
2022/3/25,193.394343,183.5166603,178.8797557,176.0976129,174.2428511,172.9180212
2022/3/26,193.3943426,192.9917604,185.9860809,181.7826731,178.9804012,176.9787784
2022/3/27,193.3943425,193.3943427,193.0924059,187.4677332,183.7179513,181.0395357
2022/3/28,193.394342,193.3943424,193.3943425,193.1527931,188.4555013,185.1002928
2022/3/29,193.3943426,193.3943424,193.3943424,193.3943425,193.1930514,189.1610501
2022/3/30,193.3943423,193.3943423,193.3943424,193.3943424,193.3943425,193.2218072
2022/3/31,210.4059648,199.0648832,197.6472479,196.7966668,196.2296128,195.8245743
2022/4/1,216.5333288,206.7778786,203.4319946,201.4244641,200.0861105,199.1301437
2022/4/2,216.533329,214.4908742,209.2167412,206.0522615,203.9426083,202.4357131
2022/4/3,216.5333288,216.5333289,215.0014879,210.6800587,207.7991061,205.7412826
2022/4/4,212.066662,215.0444399,215.4166622,214.4145227,210.9111593,208.4087569
2022/4/5,212.0666621,213.555551,214.2999955,214.7466621,214.0232126,211.0762311
2022/4/6,212.0666617,212.0666619,213.1833287,213.8533287,214.2999954,213.7437053
2022/4/7,212.0666619,212.0666619,212.0666619,212.9599953,213.5555509,213.9809478
2022/4/8,212.0666619,212.0666618,212.0666619,212.0666619,212.8111064,213.3428525
2022/4/9,212.0666619,212.0666619,212.0666619,212.0666619,212.0666619,212.7047572
2022/4/10,212.0666624,212.0666621,212.066662,212.066662,212.066662,212.066662
2022/4/11,212.0666619,212.0666621,212.066662,212.066662,212.066662,212.066662
2022/4/12,212.0666616,212.066662,212.066662,212.0666619,212.0666619,212.0666619
2022/4/13,212.0666614,212.0666616,212.0666618,212.0666618,212.0666619,212.0666619
2022/4/14,212.0666619,212.0666616,212.0666617,212.0666618,212.0666619,212.0666619
2022/4/15,212.0666624,212.0666619,212.0666618,212.0666618,212.0666619,212.0666619
2022/4/16,212.0666619,212.0666621,212.0666619,212.0666618,212.0666619,212.0666619
2022/4/17,212.066662,212.0666621,212.0666621,212.0666619,212.0666619,212.0666619
2022/4/18,212.0666615,212.0666618,212.066662,212.0666619,212.0666619,212.0666618
2022/4/19,212.0666617,212.0666617,212.0666618,212.0666619,212.0666619,212.0666618
2022/4/20,212.0666618,212.0666617,212.0666618,212.0666618,212.0666619,212.0666619
2022/4/21,212.0666616,212.0666617,212.0666617,212.0666617,212.0666618,212.0666618
2022/4/22,212.0666618,212.0666617,212.0666617,212.0666617,212.0666617,212.0666618
2022/4/23,212.0666618,212.0666617,212.0666618,212.0666617,212.0666617,212.0666617
2022/4/24,212.0666619,212.0666618,212.0666618,212.0666618,212.0666618,212.0666617
2022/4/25,212.0666624,212.066662,212.066662,212.0666619,212.0666619,212.0666619
2022/4/26,212.0666619,212.0666621,212.066662,212.066662,212.0666619,212.0666619
2022/4/27,212.0666617,212.066662,212.066662,212.0666619,212.0666619,212.0666619
2022/4/28,212.0666624,212.066662,212.0666621,212.0666621,212.066662,212.066662
2022/4/29,212.066662,212.066662,212.066662,212.0666621,212.0666621,212.066662
2022/4/30,212.0666618,212.0666621,212.066662,212.066662,212.066662,212.066662
2022/5/1,205.8709626,210.0014288,210.5177372,210.8275221,211.0340454,211.1815621
2022/5/2,205.8709625,207.9361956,208.9688122,209.5883823,210.0014288,210.2964621
2022/5/3,205.8709629,205.8709627,207.4198875,208.3492424,208.9688124,209.4113623
2022/5/4,205.8709627,205.8709627,205.8709627,207.1101025,207.9361958,208.5262624
2022/5/5,205.8709627,205.8709628,205.8709627,205.8709627,206.9035792,207.6411625
2022/5/6,205.8709628,205.8709627,205.8709628,205.8709627,205.8709627,206.7560626
2022/5/7,205.8709631,205.8709629,205.8709628,205.8709628,205.8709628,205.8709628
2022/5/8,205.8709627,205.8709629,205.8709628,205.8709628,205.8709628,205.8709628
2022/5/9,205.8709634,205.8709631,205.870963,205.8709629,205.8709629,205.8709629
2022/5/10,205.8709628,205.870963,205.870963,205.870963,205.8709629,205.8709629
2022/5/11,205.8709624,205.8709629,205.8709628,205.8709629,205.8709629,205.8709628
2022/5/12,205.8709631,205.8709628,205.8709629,205.8709629,205.8709629,205.8709629
2022/5/13,205.8709631,205.8709629,205.8709629,205.870963,205.8709629,205.8709629
2022/5/14,205.8709628,205.870963,205.8709629,205.8709628,205.8709629,205.8709629
2022/5/15,205.8709629,205.8709629,205.870963,205.8709629,205.8709629,205.8709629
2022/5/16,205.870963,205.8709629,205.870963,205.870963,205.8709629,205.8709629
2022/5/17,205.8709629,205.8709629,205.8709629,205.8709629,205.870963,205.8709629
2022/5/18,205.8709631,205.870963,205.870963,205.8709629,205.870963,205.870963
